State,City
Colorado,Greeley
California,Daly City
Idaho,Meridian
Texas,Lewisville
Florida,Davie
California,West Covina
Texas,League City
Texas,Tyler
California,Norwalk
California,San Mateo
Wisconsin,Green Bay
Texas,Wichita Falls
Nevada,Sparks
New Jersey,Lakewood
California,Burbank
California,Rialto
Texas,Allen
California,El Cajon
New Mexico,Las Cruces
Washington,Renton
Iowa,Davenport
Indiana,South Bend
California,Vista
Alabama,Tuscaloosa
Michigan,Clinton
New Jersey,Edison
New Jersey,Woodbridge
Texas,San Angelo
Wisconsin,Kenosha
California,Vacaville
Alabama, 
Alaska, 
Arizona, 
Arkansas, 
California, 
Colorado, 
Connecticut, 
Delaware, 
District of Columbia, 
Florida, 
Georgia, 
Hawaii, 
Idaho, 
Illinois, 
Indiana, 
Iowa, 
Kansas, 
Kentucky, 
Louisiana, 
Maine, 
Maryland, 
Massachusetts, 
Michigan, 
Minnesota, 
Mississippi, 
Missouri, 
Montana, 
Nebraska, 
Nevada, 
New Hampshire, 
New Jersey, 
New Mexico, 
New York, 
North Carolina, 
North Dakota, 
Ohio, 
Oklahoma, 
Oregon, 
Pennsylvania, 
Rhode Island, 
South Carolina, 
South Dakota, 
Tennessee, 
Texas, 
Utah, 
Vermont, 
Virginia, 
Washington, 
Wisconsin, 
Wyoming, 
